C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Richard Bachman (12322617),Richard Bachman,12322617,G,6500,LA@VAN 03/28/2019 10:00PM ET,VAN,-1.4
,,,,,,,,,,C,Logan Couture (12321544),Logan Couture,12321544,C/UTIL,6500,CHI@SJ 03/28/2019 10:30PM ET,SJ,3.67
,,,,,,,,,,G,Collin Delia (12322601),Collin Delia,12322601,G,6500,CHI@SJ 03/28/2019 10:30PM ET,CHI,4.19
,,,,,,,,,,G,Anton Forsberg (12322602),Anton Forsberg,12322602,G,6500,CHI@SJ 03/28/2019 10:30PM ET,CHI,0
,,,,,,,,,,G,Antoine Bibeau (12322616),Antoine Bibeau,12322616,G,6500,CHI@SJ 03/28/2019 10:30PM ET,SJ,0
,,,,,,,,,,C,Evgeny Kuznetsov (12321546),Evgeny Kuznetsov,12321546,C/UTIL,6400,WAS@CAR 03/28/2019 07:00PM ET,WAS,3.68
,,,,,,,,,,RW,Brendan Gallagher (12321778),Brendan Gallagher,12321778,W/UTIL,6400,MON@CLS 03/28/2019 07:00PM ET,MON,3.82
,,,,,,,,,,D,Shea Weber (12322212),Shea Weber,12322212,D/UTIL,6400,MON@CLS 03/28/2019 07:00PM ET,MON,3.83
,,,,,,,,,,C,Nicklas Backstrom (12321548),Nicklas Backstrom,12321548,C/UTIL,6300,WAS@CAR 03/28/2019 07:00PM ET,WAS,3.36
,,,,,,,,,,LW,Alex DeBrincat (12321782),Alex DeBrincat,12321782,W/UTIL,6300,CHI@SJ 03/28/2019 10:30PM ET,CHI,3.91
,,,,,,,,,,RW,Joe Pavelski (12321784),Joe Pavelski,12321784,W/UTIL,6300,CHI@SJ 03/28/2019 10:30PM ET,SJ,3.94
,,,,,,,,,,RW,Evgenii Dadonov (12321780),Evgenii Dadonov,12321780,W/UTIL,6200,FLA@OTT 03/28/2019 07:30PM ET,FLA,3.44
,,,,,,,,,,RW,Blake Wheeler (12321786),Blake Wheeler,12321786,W/UTIL,6200,NYI@WPG 03/28/2019 08:00PM ET,WPG,4.4
,,,,,,,,,,C,Ryan Nugent-Hopkins (12321550),Ryan Nugent-Hopkins,12321550,C/UTIL,6200,DAL@EDM 03/28/2019 09:00PM ET,EDM,3.67
,,,,,,,,,,D,Erik Karlsson (12322214),Erik Karlsson,12322214,D/UTIL,6200,CHI@SJ 03/28/2019 10:30PM ET,SJ,4.06
,,,,,,,,,,C,Matt Duchene (12321552),Matt Duchene,12321552,C/UTIL,6100,MON@CLS 03/28/2019 07:00PM ET,CLS,3.92
,,,,,,,,,,D,Alexander Edler (12322216),Alexander Edler,12322216,D/UTIL,6100,LA@VAN 03/28/2019 10:00PM ET,VAN,3.95
,,,,,,,,,,LW,Evander Kane (12321788),Evander Kane,12321788,W/UTIL,6100,CHI@SJ 03/28/2019 10:30PM ET,SJ,3.92
,,,,,,,,,,C,Max Domi (12321556),Max Domi,12321556,C/UTIL,6000,MON@CLS 03/28/2019 07:00PM ET,MON,3.55
,,,,,,,,,,D,Thomas Chabot (12322218),Thomas Chabot,12322218,D/UTIL,6000,FLA@OTT 03/28/2019 07:30PM ET,OTT,3.98
,,,,,,,,,,LW,Kyle Connor (12321790),Kyle Connor,12321790,W/UTIL,6000,NYI@WPG 03/28/2019 08:00PM ET,WPG,3.64
,,,,,,,,,,C,Dylan Larkin (12321554),Dylan Larkin,12321554,C/UTIL,5900,DET@BUF 03/28/2019 07:00PM ET,DET,4.36
,,,,,,,,,,LW,Jeff Skinner (12321792),Jeff Skinner,12321792,W/UTIL,5900,DET@BUF 03/28/2019 07:00PM ET,BUF,3.86
,,,,,,,,,,D,Erik Gustafsson (12322220),Erik Gustafsson,12322220,D/UTIL,5900,CHI@SJ 03/28/2019 10:30PM ET,CHI,3.4
,,,,,,,,,,D,Seth Jones (12322222),Seth Jones,12322222,D/UTIL,5800,MON@CLS 03/28/2019 07:00PM ET,CLS,3.54
,,,,,,,,,,C,Mark Scheifele (12321558),Mark Scheifele,12321558,C/UTIL,5800,NYI@WPG 03/28/2019 08:00PM ET,WPG,4.14
,,,,,,,,,,LW,Jamie Benn (12321794),Jamie Benn,12321794,W/UTIL,5800,DAL@EDM 03/28/2019 09:00PM ET,DAL,3.48
,,,,,,,,,,C,Mathew Barzal (12321560),Mathew Barzal,12321560,C/UTIL,5700,NYI@WPG 03/28/2019 08:00PM ET,NYI,3.17
,,,,,,,,,,RW,Mats Zuccarello (12321796),Mats Zuccarello,12321796,W/UTIL,5700,DAL@EDM 03/28/2019 09:00PM ET,DAL,3.48
,,,,,,,,,,D,John Klingberg (12322224),John Klingberg,12322224,D/UTIL,5700,DAL@EDM 03/28/2019 09:00PM ET,DAL,3.4
,,,,,,,,,,LW,Brady Tkachuk (12321798),Brady Tkachuk,12321798,W/UTIL,5600,FLA@OTT 03/28/2019 07:30PM ET,OTT,3.14
