Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Dougie Hamilton,,,D,5400,CAR,WAS,1,D1,P2,3.18,19.1,19.0,19.5,4.4,3.0,3.2,4.5,3.5,3.2,1.2,5.2,3.5,0.6,0.0,0.0
Darnell Nurse,,,D,5400,EDM,DAL,1,D2,P1,2.73,21.9,24.7,23.9,1.2,2.2,2.4,3.0,3.2,3.2,1.1,5.3,2.8,0.5,0.0,0.0
Nino Niederreiter,,,LW,5400,CAR,WAS,1,L1,P1,3.18,18.5,17.1,16.0,2.0,2.6,2.3,2.4,3.2,2.8,0.3,5.4,2.7,0.5,0.0,0.0
Dylan Strome,,,C,5400,CHI,@SJ,1,L2,P1,2.76,16.8,17.4,16.1,2.0,1.7,1.8,1.2,3.2,2.8,0.6,5.0,2.5,0.5,0.0,0.0
Patrik Laine,,,RW,5300,WPG,NYI,2,L2,P1,3.02,18.6,17.0,17.3,1.6,2.6,3.1,2.0,2.7,3.6,0.2,6.9,4.2,0.8,0.0,0.0
Sam Reinhart,,,RW,5300,BUF,DET,1,L1,P1,3.27,19.0,19.4,18.9,2.6,2.3,2.2,2.7,3.1,3.3,1.1,5.6,3.2,0.6,0.0,0.0
Oscar Klefbom,,,D,5300,EDM,DAL,1,D1,P2,2.73,22.9,23.6,24.2,2.2,2.6,2.8,3.5,3.2,3.3,1.0,5.5,3.4,0.6,0.0,0.0
Tom Wilson,,,RW,5300,WAS,@CAR,1,L1,P2,2.82,18.5,18.2,18.1,1.8,1.9,2.1,3.1,2.8,3.2,0.6,5.8,2.2,0.4,0.0,0.0
Brock Nelson,,,C,5300,NYI,@WPG,1,L2,P1,2.48,17.7,18.1,18.0,2.2,2.2,2.1,3.1,3.0,3.0,0.8,5.3,2.4,0.5,0.0,0.0
Brent Seabrook,,,D,5300,CHI,@SJ,1,D1,P2,2.76,17.5,17.9,19.4,2.0,2.1,2.2,2.8,3.1,3.0,1.4,4.7,2.5,0.5,0.0,0.0
Teuvo Teravainen,,,RW,5200,CAR,WAS,1,L2,P1,3.18,18.7,18.1,17.9,1.8,1.9,2.0,2.8,3.4,3.3,0.5,6.2,3.0,0.6,0.0,0.0
Dustin Brown,,,RW,5200,LA,@VAN,1,L1,P1,2.58,20.3,20.0,20.3,4.2,2.4,2.6,5.5,3.1,3.3,0.6,6.0,2.7,0.5,0.0,0.0
Vincent Trocheck,,,C,5200,FLA,@OTT,1,L2,P2,3.46,19.0,19.3,19.9,3.8,2.7,2.8,4.3,2.9,3.1,0.9,5.2,4.1,0.8,0.0,0.0
Anders Lee,,,LW,5200,NYI,@WPG,1,L1,P1,2.48,17.5,16.8,17.1,0.8,2.5,2.6,0.6,2.9,3.2,0.9,5.4,3.0,0.6,0.0,0.0
Mike Green,,,D,5200,DET,@BUF,2,,,2.73,21.2,21.7,21.7,1.8,2.1,2.1,3.3,3.0,3.0,0.8,5.3,0.0,0.0,0.0,0.0
Zach Werenski,,,D,5200,CLS,MON,1,D2,P1,2.95,23.5,23.8,22.8,1.2,2.0,2.0,2.5,3.0,2.8,0.9,4.7,3.3,0.6,0.0,0.0
Tomas Tatar,,,LW,5100,MON,@CLS,1,L1,P2,2.55,16.2,16.4,16.4,2.2,2.6,2.5,4.6,3.5,3.3,0.7,5.9,2.5,0.5,0.0,0.0
Justin Williams,,,RW,5100,CAR,WAS,1,L1,P1,3.18,18.3,17.9,17.3,2.0,3.0,2.9,2.7,3.6,3.2,0.9,5.5,2.4,0.5,0.0,0.0
Anze Kopitar,,,C,5100,LA,@VAN,1,L1,P1,2.58,22.4,22.1,22.4,2.2,1.8,2.0,4.2,3.4,3.2,0.8,5.7,3.6,0.7,0.0,0.0
Frank Vatrano,,,RW,5100,FLA,@OTT,1,L3,P2,3.46,15.0,15.3,14.8,3.6,2.8,2.6,3.1,3.4,3.1,0.8,5.4,2.1,0.4,0.0,0.0
Aaron Ekblad,,,D,5100,FLA,@OTT,1,D1,P2,3.46,23.8,24.3,23.6,1.6,1.9,2.2,2.8,3.0,2.7,1.0,4.5,3.2,0.6,0.0,0.0
Josh Anderson,,,RW,5000,CLS,MON,1,L3,P2,2.95,18.8,17.9,17.2,2.8,3.0,2.9,3.9,3.6,3.3,0.9,5.7,2.8,0.6,0.0,0.0
Anthony Mantha,,,RW,5000,DET,@BUF,2,L1,P1,2.73,19.0,18.1,17.7,3.2,3.0,2.8,3.7,3.4,3.1,0.3,5.8,3.0,0.6,0.0,0.0
Rasmus Ristolainen,,,D,5000,BUF,DET,1,,,3.27,22.3,23.7,24.7,1.4,2.2,2.4,1.2,2.7,3.1,1.4,4.8,0.0,0.0,0.0,0.0
